,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
134,業務代表,裕隆集團_裕隆日產汽車股份有限公司,2021.06.01,全職,臺北,,,,,,,非常開心,準時上下班,8 hr,1,1,剛進去還不能賣車，要...,產險證照建議不要看理...
135,採購工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.05.24,全職,苗栗,,,,,,,有苦說不出,偶爾加班,8 hr,1,1,大致工作有零件採購、...,福利制度中等。主管官...
136,管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.04.22,全職,苗栗,,,,,,,還算愉快,準時上下班,9 hr,1,1,工作內容同人力銀行所...,1. 切勿開他牌車，...
137,管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.03.14,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,3,工作項目：市場分析、...,樂意接受新鮮人，可累...
138,採購,裕隆集團_裕隆日產汽車股份有限公司,2021.02.01,全職,苗栗,,,,,,,有苦說不出,很少加班,8 hr,4,0,工作氣氛凝重，公司官...,建議進來的後輩先學習...
139,工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.01.10,全職,新北,,,,,,,平常心,常常加班,12 hr,1,0,參與開發ADAS 先...,導入NAVI 導航系...
140,工程師,裕隆集團_裕隆日產汽車股份有限公司,2020.06.01,全職,苗栗,,,,,,,平常心,很少加班,8 hr,4,0,台灣汽車龍頭產業，績...,對於追求工作緩慢、薪...
141,專案策劃,裕隆集團_裕隆日產汽車股份有限公司,2020.01.20,全職,新北,,,,,,,平常心,偶爾加班,9 hr,1,0,沒有去上班過也不知道...,努力向上！年輕吃苦當...
142,管理師,裕隆集團_裕隆日產汽車股份有限公司,2019.12.14,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,1,0,養老型公司 內部氣氛...,加薪幅度慢 但在中部...
143,工程師,裕隆集團_裕隆日產汽車股份有限公司,2019.09.09,全職,桃園,,,,,,,還算愉快,很少加班,8 hr,1,0,維修項目許多種都包括...,因為待在該所時間不夠...
144,接待,裕隆集團_裕隆日產汽車股份有限公司,2019.08.09,全職,高雄,,,,,,,平常心,偶爾加班,9 hr,3,0,"接洽客戶
必要時要處...",可以做新人的跳板...
145,工程師,裕隆集團_裕隆日產汽車股份有限公司,2019.07.30,全職,苗栗,,,,,,,平常心,常常加班,9 hr,5,0,1) 雜事太多，幾乎...,汽車業在台灣沒有其他...
146,銷售顧問,裕隆集團_裕隆日產汽車股份有限公司,2019.06.19,全職,新北,,,,,,,有苦說不出,偶爾加班,10 hr,4,0,事情多到不行    ...,肯拼積極性絕對是可以...
